Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
HIMERA,https://www.crunchbase.com/organization/himera,Active,,"Communication Hardware, Manufacturing","Kyiv, Kyyiv, Ukraine",Himera develops and manufactures communication systems for global defense forces based on its access to the modern battlefield.,"8,477","Europe, Middle East, and Africa (EMEA)",,,2022-03-01,month,,,,,For Profit,https://himeratech.com/en,,,https://www.linkedin.com/company/himera/,HIMERA is a Ukrainian developer and manufacturer of communication systems for the Defense Forces. HIMERA solutions are battlefield-ready and are used in the hottest defensive and offensive operations in Ukraine. HIMERA is a multidisciplinary team of experts who are constantly improving the product line to meet the requirements of modern warfare.  HIMERA products are already present in all types of units of the Ukrainian Defense Forces and have been validated by the US Air Force and Special Operations Forces.,"Hardware, Manufacturing",1,51-100,Misha Rudominski,3,Seed,2024-10-11,150000,USD,150000,Seed,150000,USD,150000,Seed,775000,USD,775000,775000,USD,775000,"Natalia Sambi, Green Flag Ventures, United Angels Network, Nezlamni Fund, Dave Morgan",3,10,,,,,,,,,,,,,,Private,,,,,,,,,,,
Frontline,https://www.crunchbase.com/organization/frontline-5305,Active,,Robotics,"Kyiv, Kyyiv, Ukraine",Frontline is a defense technology developer working to establish new rules of battle in which robots would replace humans.,"14,509","Europe, Middle East, and Africa (EMEA)",,,2023-01-01,year,,,,,For Profit,https://frontline-robotics.tech,,,https://www.linkedin.com/company/frontline-robots,"Frontline is a defense technology developer working to establish new rules of battle in which robots would replace humans. Frontline specializes in the development and construction of robotic systems with their own communication platform for control and video transmission, allowing defense units to combat without the use of humans.","Hardware, Science and Engineering, Software",,11-50,,3,Seed,2024-12-23,150000,USD,150000,Seed,150000,USD,150000,Seed,250000,USD,250000,298705,USD,298705,"Startup Wise Guys, Brave1, Angel One",3,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
Ajax Systems,https://www.crunchbase.com/organization/ajax-systems,Active,,"Manufacturing, Security","Kyiv, Kyyiv, Ukraine",Ajax Systems manufactures smart security systems and sensors for homes.,"18,594","Europe, Middle East, and Africa (EMEA)",04073,Less than $1M,2011-01-01,year,,,,,For Profit,http://www.ajax.systems,https://twitter.com/ajax_systems,https://www.facebook.com/ajax.systems/,https://www.linkedin.com/company/10469202,"Ajax Systems manufactures smart security systems and sensors for homes. It offers wireless window and door opening sensors and movement sensors. The company was founded in 2011 and is based in Kyiv, Ukraine.","Manufacturing, Privacy and Security",1,1001-5000,Aleksandr Konotopskyi,2,Early Stage Venture,2019-03-29,10000000,USD,10000000,Series A,10000000,USD,10000000,Series A,11000000,USD,11000000,11000000,USD,11000000,"Horizon Capital, SMRK VC Fund",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
Respeecher,https://www.crunchbase.com/organization/respeecher,Active,,"Artificial Intelligence (AI), Hardware, Information Technology, Machine Learning, Software","Kyiv, Kyyiv, Ukraine",We build high fidelity voice cloning (voice conversion) systems using deep neural networks.,"25,707","Europe, Middle East, and Africa (EMEA)",01054,$1M to $10M,2018-02-01,month,,,,,For Profit,https://www.respeecher.com/,https://twitter.com/respeecher,https://www.facebook.com/respeecher/,https://www.linkedin.com/company/respeecher/,"Respeecher uses AI to convert the performance of one speaker into the voice of another, decoupling voices from actors.","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",3,11-50,"Alex Serdiuk, Dmytro Bielievtsov, Grant Reaber",6,Seed,2023-12-06,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,2500000,USD,2500000,2500000,USD,2500000,"Techstars, Acrobator Ventures, Google for Startups, ff Venture Capital, Chris Adelsbach",3,13,,,,,,,,,,,,,,Private,,,,,,,,,,,1
Deus Robotics,https://www.crunchbase.com/organization/deus-robotics,Active,,"Artificial Intelligence (AI), Industrial Automation, Logistics, Robotics, Warehousing","Kyiv, Kyyiv, Ukraine","We design, develop and produce robots for logistics.","28,495","Europe, Middle East, and Africa (EMEA)",01021,,2018-01-01,year,,,,,For Profit,https://deusrobotics.com,,,https://www.linkedin.com/company/deus-robots,"Deus Robotics is an innovative company that is pushing the boundaries of robotics technology. With a team of experienced engineers and designers, we are developing cutting-edge robotics solutions that have the potential to revolutionize industries ranging from manufacturing to healthcare. Our mission is to create intelligent machines that can augment human capabilities, improve efficiency, and enhance safety. Join us in shaping the future of robotics and unlocking new possibilities for human-machine collaboration.","Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software, Transportation",1,11-50,Pavlo Pikulin,2,Seed,2024-12-27,3000000,USD,3000000,Seed,3000000,USD,3000000,Seed,4500000,USD,4500000,4500000,USD,4500000,"SID Venture Partners, 1991 Ventures, u.ventures, SMRK VC Fund, Sigma Software Labs",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Buntar Aerospace,https://www.crunchbase.com/organization/buntar-aerospace,Active,,"Aerospace, Artificial Intelligence (AI), Drones","Kyiv, Kyyiv, Ukraine",Buntar Aerospace is an aerospace manufacturing company.It provides navigation systems with artificial intelligence modules.,"30,889","Europe, Middle East, and Africa (EMEA)",01024,,2023-01-01,year,,,,,For Profit,https://buntaraerospace.com,,https://www.facebook.com/buntaraerospace,https://www.linkedin.com/company/buntar-aerospace,"Buntar Aerospace is an aerospace manufacturing company. It provides navigation systems with artificial intelligence modules,drones, and custom software.","Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Science and Engineering, Software",1,11-50,Kateryna Bezsudna,2,Seed,2024-06-11,200000,USD,200000,Seed,200000,USD,200000,Seed,1200000,USD,1200000,1200000,USD,1200000,"Sukna Ventures, Nezlamni Fund, Dmitry Dubrovskyi, Vitalii Diatlenko, Victoria Dubrovska",,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Liki24,https://www.crunchbase.com/organization/liki24,Active,,"Delivery Service, E-Commerce, E-Commerce Platforms, Medical, Pharmaceutical","Kyiv, Kyyiv, Ukraine",Liki24 is a health-tech firm that provides delivery services for health and beauty products to customers.,"37,734","Europe, Middle East, and Africa (EMEA)",02100,$10M to $50M,2017-01-01,year,,,,,For Profit,https://liki24.com/,https://x.com/Liki24com,https://www.facebook.com/liki24.com.ua,https://www.linkedin.com/company/liki24,"Liki24 is a logistics company that features a software platform that utilizes deep integration with partner pharmacies, clinics, and insurance companies. Its software is designed for logistics team coordination, task management, and data management.","Commerce and Shopping, Health Care, Internet Services, Transportation",4,101-250,"Anton Avrinsky, Dmytro Liatambur, Sergii Fadieiev, Sergii Kliebanov",4,Seed,2023-12-01,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,10000000,USD,10000000,10000000,USD,10000000,"Horizon Capital, SID Venture Partners, Flyer One Ventures, Murat Abdrakhmanov, ICLUB VC",3,8,,,,,,,,,,,,,,Private,,,,,,,,,,,
Carbominer,https://www.crunchbase.com/organization/carbominer,Active,,"AgTech, CleanTech, GreenTech, Hardware, Industrial Engineering, Sustainability","Kyiv, Kyyiv, Ukraine",Providing green CO₂ from the open air,"47,304","Europe, Middle East, and Africa (EMEA)",,Less than $1M,2020-02-24,day,,,,,For Profit,https://carbominer.com/,,https://www.facebook.com/carbominer,https://www.linkedin.com/company/carbominer,"Carbominer is an ambitious climate tech startup that has developed new technology to capture carbon dioxide from the open air locally. The business model is providing green CO₂ as a service to commercial clients, that aim to transition to sustainable operations. Potential applications include, but are not limited to indoor agriculture, decarbonisation of the construction industry, and carbon removals.  The company offers modular plug-and-play CO₂ Direct Air Capture technology, embedded in transportable 20ft shipping containers. Carbominer's DAC technology stands out due to the ability to use cheap intermittent renewable electricity. Combined with the local capture (no need for liquefaction, storage, transportation, etc.), it opens the path to the lowest cost possible for Direct Air Capture of CO₂","Agriculture and Farming, Hardware, Manufacturing, Science and Engineering, Sustainability",2,1-10,"Nick Oseyko, Viktoria Oseyko",7,Seed,2024-02-15,1500000,EUR,1615935,Grant,200000,USD,200000,Seed,900000,USD,900000,2568997,USD,2568997,"EIC Accelerator, SMRK VC Fund, Climate Innovation Vouchers",3,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
Mindly,https://www.crunchbase.com/organization/mindly-a201,Active,,"Apps, Consulting, Health Care, Mental Health, Psychology","Kyiv, Kyyiv, Ukraine",Mindly is an online platform for therapists that provides therapy sessions for patients.,"51,379","Europe, Middle East, and Africa (EMEA)",01001,$10M to $50M,2022-01-01,year,,,,,For Profit,https://mindlyspace.com/pl,,https://www.facebook.com/mindlyspace/,https://www.linkedin.com/company/mindlyspace,Mindly is a platform for mental health therapy online. They provide services that include social media and mental health problems. They offer resources and tools to support mental wellness and personal growth.,"Apps, Health Care, Professional Services, Software",,51-100,,2,Seed,2023-12-22,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,2000000,USD,2000000,2000000,USD,2000000,"Inovo.vc, Google for Startups, Patrik Backman",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
INPUT SOFT,https://www.crunchbase.com/organization/inputsoft,Active,,"Information Technology, SaaS, Software","Kyiv, Kyyiv, Ukraine","INPUT SOFT offers web-based aviation solutions to optimize resources, cut costs, and streamline data collection and analysis at airports.","58,937","Europe, Middle East, and Africa (EMEA)",03194,Less than $1M,2022-01-04,day,,,,,For Profit,https://www.inputsoft.net/,https://twitter.com/inputsoftware,,https://www.linkedin.com/company/inputsoftnet,"INPUT SOFT provides web-based aviation management solutions for civil aviation: helps optimize resources, reduce costs, collect and analyze data from all processes at the airports. At INPUT SOFT we have two software packages: ""Resource Management"" and ""Data Management"". When used in tandem, they will help collect data on the provided services during aircraft ground handling operations, efficiently allocate human and technical resources at the airport, eliminate the use of paper forms and minimize the waiting time for aircraft departure with engines running, thus reducing CO2 emissions.","Information Technology, Software",3,11-50,"Anastasiia Smyk, Andrii Smyk, Valentyn Zavadskyi",9,Seed,2025-03-10,,,,Grant,50000,USD,50000,Pre-Seed,445000,USD,445000,598062,USD,598062,"Techstars, SID Venture Partners, Seeds of Bravery, Google for Startups, Ukrainian Startup Fund",5,11,,,,,,,,,,,,,,Private,,,,,,,,,,,
