Organization/Person Name,Description,Organization/Person Name URL,Industry-Specific VC Binary,pred_label
Apicap,Apicap is a French  independent management company that focuses on SME financing.,https://www.crunchbase.com/organization/apicap,,0
OpenAI,OpenAI creates artificial intelligence technologies to assist with tasks and provide support for human activities.,https://www.crunchbase.com/organization/openai,,0
Lita.co,LITA.co is the first impact investing platform that connects individuals and social entrepreneurs.,https://www.crunchbase.com/organization/lita-co,,0
Eutopia VC,Eutopia VC is an early stage venture capital fund.,https://www.crunchbase.com/organization/eutopia-vc,,0
Top Harvest Capital,Top Harvest Capital invests worldwide in early-stage startups leveraging machine learning / AI.,https://www.crunchbase.com/organization/top-harvest-capital,,1
Blue Oceans Partners,Blue Oceans Partners is invests in and supports companies scaling up innovations that help address the most critical threats to our ocean.,https://www.crunchbase.com/organization/blue-oceans-partners,,1
Jedar Capital,Emerging Markets VC Fund focusing on Africa & Middle East,https://www.crunchbase.com/organization/jedar-capital,,0
Happy Capital,Happy Capital is a crowdfunding platform.,https://www.crunchbase.com/organization/happy-capital,,0
Karot Capital,Innovation-driven early stage VC,https://www.crunchbase.com/organization/karot-capital,,0
IronCapital,Iron Capital venture capital firm that invests in early stage startups.,https://www.crunchbase.com/organization/ironcapital,,0
Viralety Ventures,Viralety is a capital fund investing in entrepreneurs with disruptive positioning determined to build companies with long-term worth.,https://www.crunchbase.com/organization/viralety-ventures,,0
NACO,"NACO is a co-investment fund for start-ups and small and medium-sized businesses, backed by Région Nouvelle-Aquitaine, managed by M/Capital.",https://www.crunchbase.com/organization/naco-984b,,0
SEB Alliance,SEB Alliance is a venture capital firm that invests in disruptive technology sectors.,https://www.crunchbase.com/organization/seb-alliance-3,,0
VERSO Capital,Merchant Banking Boutique for UHNW and Institutional Clients since 1958,https://www.crunchbase.com/organization/versoholdings,,0
iFly.vc,iFly.vc is a seed-stage VC firm based in the Austin Area.,https://www.crunchbase.com/organization/ifly-vc,,0
Dream Machine,"Dream Machine is an opportunistic seed fund, interested in AI, voice, AR, VR, IoT, and blockchain.",https://www.crunchbase.com/organization/dream-machine-vc,,0
Sparkle Ventures,Sparkle Ventures fund investing equity and tokens to support prominent technologies in Web 3.0 and highly scalable businesses.,https://www.crunchbase.com/organization/sparkle-ventures,,1
LeadBlock Partners,LeadBlock Partners is a venture capital fund investing in blockchain/digital assets.,https://www.crunchbase.com/organization/leadblock-partners,,1
SideAngels,"SideAngels is a club deal platform which allows the members of its community to invest in start-ups, alongside experienced business angels.",https://www.crunchbase.com/organization/sideangels,,0
MOL PLUS,Mol Plus is a Corporate Venture Capital driving force for Mitsui O.S.K. Lines.,https://www.crunchbase.com/organization/mol-plus,,0
AKITUA,AKITUA is an investment company that provides management services to its affiliates.,https://www.crunchbase.com/organization/akitua,,0
Open CNP,Open CNP is the corporate venture program of CNP Assurances.,https://www.crunchbase.com/organization/open-cnp,,0
Novalis Biotechnology Incubation,Novalis Biotech Incubation is an early-stage vc fund that invests in biotechnology and life sciences related companies.,https://www.crunchbase.com/organization/novalis-biotechnology-incubation,,1
NOIA Capital,NOIA Capital is a Luxembourg based multi family office focusing on growth capital opportunities.,https://www.crunchbase.com/organization/noia-capital,,0
3CC | Third Culture Capital,"Immigrant-founded, physician-led, and diversity-certified seed-stage VC firm focused on emerging healthtech and techbio companies",https://www.crunchbase.com/organization/3cc-third-culture-capital,,1
Habert Dassault Finance,"Habert Dassault Finance is an investment firm which prefers to make seed, early stage and later stage investments.",https://www.crunchbase.com/organization/habert-dassault-finance,,0
MAIF Impact,"MAIF Impact finances startups with social or environmental impact. We particularly invest in education, inclusion, circular economy...",https://www.crunchbase.com/organization/maif-investissement-social-et-solidaire,,1
Herrikoa,Herrikoa is a venture capital firm specialized in early stage investments.,https://www.crunchbase.com/organization/herrikoa,,0
InnoBio Fund,InnoBio is a French venture capital fund.,https://www.crunchbase.com/organization/innobio-fund,,0
Wind Capital,Wind Capital is a investment firm.,https://www.crunchbase.com/organization/wind-capital,,0
Internet Attitude,Internet Attitude provides financial and strategic support to companies focused on web and new technologies.,https://www.crunchbase.com/organization/internet-attitude,,0
Fluxus Ventures,Fluxus Ventures invests in & incubates material sciences innovators w/ solutions for smarter buildings and urban infrastructure.,https://www.crunchbase.com/organization/fluxus-ventures,,1
Mandalore Partners,"Mandalore Partners is the leading European ""Corporate Venture Capital-as-a-Service"" in Financial Services",https://www.crunchbase.com/organization/mandalore-partners,,0
CAAP Creation,CAAP Creation operates as the venture capital arm of Credit Agricole Alpes Provence.,https://www.crunchbase.com/organization/caap-creation,,0
The Open Platform,TOP is a venture capital investment firm.,https://www.crunchbase.com/organization/first-stage-labs,,0
Time for Growth,Time for Growth is a French based growth capital private equity fund specialized,https://www.crunchbase.com/organization/time-for-growth,,0
Alive Ideas,Alive Ideas is a team of french entrepreneurs trying to help ideas to go (a)live.,https://www.crunchbase.com/organization/alive-ideas,,0
UL Invest,UL Invest is an  investment firm.,https://www.crunchbase.com/organization/ul-invest,,0
Finaqui,"Finaqui is a venture capital firm specializing in seed/start-up, early-stage and growth capital investments. ",https://www.crunchbase.com/organization/finaqui,,0
