Organization/Person Name,Description,Organization/Person Name URL,Specific VC Binary
Tier IV,Tier IV creates technology-enabled driving software for the automotive industry that develops intelligent vehicles.,https://www.crunchbase.com/organization/tier-iv,
"""Bitstamp by Robinhood""","""Bitstamp by Robinhood"" is a crypto exchange platform that specializes in buying and selling cryptocurrencies.",https://www.crunchbase.com/organization/bitstamp,
Swiss Prime Site,Swiss Prime Site is a real estate investment company.,https://www.crunchbase.com/organization/swiss-prime-site,
Spin Master,"Spin Master is a children's entertainment company that creates toys, games, entertainment, and digital games for children.",https://www.crunchbase.com/organization/spin-master,
Clariant,"Clariant is a chemical company that specializes in care chemicals, adsorbents, and additives.",https://www.crunchbase.com/organization/clariant-chemicals,
University College London (UCL),"UCL is one of the world's leading universities, founded in London to open up education to all on equal terms.",https://www.crunchbase.com/organization/university-college-london-ucl,
Galapagos,"Galapagos is a clinical-stage biotechnology company, specialized in the discovery and development of small molecule medicines with novel.",https://www.crunchbase.com/organization/galapagos,
InfoCert,InfoCert is a software company that provides digitization and dematerialization services for a business.,https://www.crunchbase.com/organization/infocert,
Kitty Hawk,"Kitty Hawk is an aerospace company that manufactures eVTOL vehicles that makes airtaxis affordable, ubiquitous, and eco-conscious.",https://www.crunchbase.com/organization/kitty-hawk,
American City Business Journals,American City Business Journals Inc.(ACBJ) is the largest publisher of metropolitan business newspapers in the USA.,https://www.crunchbase.com/organization/american-city-business-journals,
PDS,"PDS provides integrated solutions for global fashion retail, focusing on sustainability and ethical practices.",https://www.crunchbase.com/organization/pds-multinational-group,
Reach,"Reach is a news company that publishes news containing sports, cultural, and entertainment content for awareness.",https://www.crunchbase.com/organization/trinity-mirror,
Zoopla,"Zoopla is a property website in the U.K. that combines property listings with market data, local information, and community tools.",https://www.crunchbase.com/organization/zoopla,
Borealis,"Borealis is a provider of innovative solutions in the fields of polyolefins, base chemicals and fertilizers.",https://www.crunchbase.com/organization/borealis-822d,
Lennertz & Co.,Lennertz & Co. is an owner-managed family office with a clear focus on further developing and increasing the value of its clients' assets.,https://www.crunchbase.com/organization/lennertz-co,
EuraTechnologies,EuraTechnologies promotes economic and social development through the exchange of scientific research and technologies.,https://www.crunchbase.com/organization/euratechnologies,
EPTI,"EPTI is a computer software company that specializes in the fields of project management, online marketing, testing, and cloud hosting.",https://www.crunchbase.com/organization/epti,
Wartsila,Wärtsilä is a global leader in smart technologies and complete lifecycle solutions for the marine and energy markets,https://www.crunchbase.com/organization/wartsila,
Great Point Media,Great Point Media is a Media & Entertainment company.,https://www.crunchbase.com/organization/great-point-media,
Israel Aerospace Industries,Israel Aerospace Industries develops and manufactures military and commercial aerospace and defense systems.,https://www.crunchbase.com/organization/israel-aerospace-industries,
Green Circle Capital Partners,"Green Circle Capital Advisors assists with mergers and acquisitions, raising capital, and distribution support services.",https://www.crunchbase.com/organization/green-circle-capital-advisors,
Odysseus Investments,"Specializing in Financial Services, Technology, and Real Assets   Specializing in Financial Services, Technology, and Real Assets",https://www.crunchbase.com/organization/odysseus-investments,
S3 Capital,S3 Capital is a real estate lending platform.,https://www.crunchbase.com/organization/s3-capital,
Rothesay Pensions Management,Rothesay Pensions Management Ltd is headquartered in England. The company's line of business includes providing various business services.,https://www.crunchbase.com/organization/rothesay-pensions-management,
VentureFund,VentureFund offers startups with mentorship and funding by introducing them to investors.,https://www.crunchbase.com/organization/venturefund,
Econocom,"Econocom designs, finances and oversees companies digital transformation.",https://www.crunchbase.com/organization/econocom,
Phoenix Asset Management,Phoenix is a private equity firm focused on investing in enterprise software startups and middle market companies.,https://www.crunchbase.com/organization/phoenix-asset-managment-llc,
kraftwerk,Kraftwerk is a global leading company in the field of new materials and nanotechnology.,https://www.crunchbase.com/organization/kraftwerk-f94e,
Fraunhofer-Gesellschaft,"Fraunhofer-Gesellschaft is a research company that focuses on health, security, communications, and the environment.",https://www.crunchbase.com/organization/fraunhofer-gesellschaft,
University Medical Center Groningen,"University Medical Center Groningen is a hospital in Groningen, The Netherlands. Its core tasks are academic health care, medical education.",https://www.crunchbase.com/organization/university-medical-center-groningen,
Hard2beat,Hard2beat invests in early-stage deep tech startups solving hard problems through software-driven or hardware-enabled solutions.,https://www.crunchbase.com/organization/hard2beat,
Founders Forum Group,Founders Forum Group is a global community and group of businesses supporting entrepreneurs at every stage of their journeys.,https://www.crunchbase.com/organization/founders-forum,
Bocconi University,Bocconi University is contributing to the advancement of European higher education by teaching business and economic knowledge.,https://www.crunchbase.com/organization/sda-bocconi-school-of-management,
Mediahuis,Mediahuis is a Belgian newspaper publishing and broadcast media company. ,https://www.crunchbase.com/organization/mediahuis,
Vessoa Private Equity,Vessoa Private Equity invests in companies with a solid business that has a faithful client base for long term.,https://www.crunchbase.com/organization/vessoa-private-equity,
Sands,Sands is a developer of mobile applications. They have been developing applications regarding Travel for providing,https://www.crunchbase.com/organization/las-vegas-sands,
Ornament Health,Ornament Health is a digital health app that helps in the monitoring of lab tests.,https://www.crunchbase.com/organization/ornament,
Sachin Dev Duggal,"At 31, Sachin Dev Duggal is an innovator, serial entrepreneur, and an advocate of enterprise that touches lives and benefits the world at la...",https://www.crunchbase.com/person/sachin-dev-duggal,
NOM,NOM is a video advertising platform that helps brands run ads safely on YouTube and across social media properties.,https://www.crunchbase.com/organization/nom,
Upfield,Upfield is the authority in plant-based nutrition and the producer of plant-based spreads globally.,https://www.crunchbase.com/organization/upfield,
Alastair (Ali) Mitchell,Alastair (Ali) Mitchell - Managing Partner @ Odyssey Ventures,https://www.crunchbase.com/person/alastair-mitchell,
Next Fifteen Communications Group,Next Fifteen Communications Group is the digital communications group.,https://www.crunchbase.com/organization/next-fifteen-communications-group,
Lufthansa Cargo,Lufthansa Cargo AG is a German cargo airline and a wholly owned subsidiary of Lufthansa.,https://www.crunchbase.com/organization/lufthansa-cargo,
Angel Investors Network,"Angel Investors Network, an online investment platform, providing investors with the resources to assess investment opportunities.",https://www.crunchbase.com/organization/angel-investors-network,
Thieme,"Thieme is a medical and science publisher that provides medical and chemistry information, software, and services.",https://www.crunchbase.com/organization/thieme,
PRIMAVERA Business Software Solutions,PRIMAVERA is a technology company that develops business management tools aimed at simplifying life in organizations.,https://www.crunchbase.com/organization/primavera-business-software-solutions-sa,
Social Impact Fund,SIF provides financial support for public charities & acts as a fiscal agent for charities and foundations.,https://www.crunchbase.com/organization/social-impact-fund,
Mark Troughton,Mark Troughton is the COO at Chime and he is disruptive businesses in consumer technology and financial services,https://www.crunchbase.com/person/mark-troughton,
Tommy Nicholas,"Tommy is the CEO and co-founder of Alloy, an API to ease the pain of customer identification (KYC/AML, etc) for financial services companies...",https://www.crunchbase.com/person/thomas-edward-nicholas,
TrenLab,"TrenLab is startup acceleration program specializing in the mobility, transport and logistics sector.",https://www.crunchbase.com/organization/trenlab,
MP Pension,MP Pension is a pension fund for Danish for postgraduate employees in the public sector at universities and upper secondary schools.,https://www.crunchbase.com/organization/mp-pensjon,
Jehan Chu,"Jehan Chu is co-Founder and Managing Partner of Kenetic, a Hong Kong based early-stage Blockchain investment and trading firm. He has been a...",https://www.crunchbase.com/person/jehan-chu,
PERI,PERI manufacturers and suppliers of formwork and scaffolding systems.,https://www.crunchbase.com/organization/peri,
Deutsche Invest Capital Partners,Deutsche Invest Capital Partners focuses on investment management and advisory services.,https://www.crunchbase.com/organization/deutsche-invest-equity-partners-gmbh,
Clever Advertising,"A digital marketing , online advertising, applications, management and development of online content and traffic management company.",https://www.crunchbase.com/organization/clever-advertising,
TAG,TAG is the travel management company.,https://www.crunchbase.com/organization/tag-5a05,
Nimbus,"Nimbus comes to product development, production methods and efficiency.",https://www.crunchbase.com/organization/nimbus-dx,
Lumosity,Lumosity is a neuroscience research company that provides online brain training programs.,https://www.crunchbase.com/organization/lumosity,
Brofund,Brofund is a Family Office that invests in private and public companies.,https://www.crunchbase.com/organization/brofund,
Antoine Nussenbaum,"Antoine is a Partner and member of the founding team of Felix Capital. He currently sits on the boards of TravelPerk, Papier, Frichti, Heetc...",https://www.crunchbase.com/person/antoine-nussenbaum,
Eric Barbier,"Eric Barbier is based out of Singapore, Central Region and is the Chief Executive Officer of Triple-A. Eric previously worked at STC Bank as...",https://www.crunchbase.com/person/eric-barbier,
Nomainvest,Nomainvest works on the economic development of the regions in which it invests and contributes to the creation of sustainable jobs.,https://www.crunchbase.com/organization/nomainvest,
VINCI Energies,"VINCI Energies provides for the creation, equipping, operation and optimization of energy, transport and communications infrastructure",https://www.crunchbase.com/organization/vinci-energies,
Pre-Seed Fund,An initiative of the government of the city of St. Petersburg,https://www.crunchbase.com/organization/pre-seed-fund,
whataventure — New business. Powered by entrepreneurs.,whataventure is your partner for building new business.,https://www.crunchbase.com/organization/whataventure,
Rettig Group,Rettig Group is a Finnish family held investment company that creates value for generations through active and responsible ownership.,https://www.crunchbase.com/organization/rettig-group,
HypoVereinsbank,HypoVereinsbank is a bank that provides money management services.,https://www.crunchbase.com/organization/bayerische-hypo-und-vereinsbank-ag,
Compagnie Nationale du Rhône - CNR,"CNR is a French producer of electricity from 100% renewable, partner territories for the energy transition.",https://www.crunchbase.com/organization/compagnie-nationale-du-rhône-cnr,
Michael Rubenstein,Michael Rubenstein is the Co-CEO and Co-Founder of Firsthand. He previously worked at OpenStore as a Co-Founder. Michael Rubenstein attended...,https://www.crunchbase.com/person/michael-rubenstein,
Slevomat,Slevomat is an online retailer that offers discounts for mass purchases.,https://www.crunchbase.com/organization/slevomat,
Kienbaum Consultants International,Kienbaum Consultants International provides personnel and management consultancy.,https://www.crunchbase.com/organization/kienbaum-consultants-international,
Oriola,Oriola is a company that helps human beings to live a healthy life by supplying medicines & other wellbeing products through pharmacies.,https://www.crunchbase.com/organization/oriola,
Nejc Kodric,"Nejc Kodric Since starting out in 2011 with little more than some basic computer equipment, €1,000 and a love of technology, Nejc has been i...",https://www.crunchbase.com/person/nejc-kodric,
Castle Connolly Medical Ltd.,"Castle Connolly Medical Ltd. helps consumers find the best healthcare by publishing a variety of books including the ""Top Doctors"" series",https://www.crunchbase.com/organization/castle-connolly-medical-ltd,
Limestone Capital AG,Limestone Capital is the creator and manager of unique hotels rooted in its unique location and authentic architecture.,https://www.crunchbase.com/organization/limestone-capital-ag,
McPike Global Family Office,McPike Global Family Office is a family investment office.,https://www.crunchbase.com/organization/mcpike-global-family-office,
Doliam,"Doliam is a private holding company regrouping several high-tech companies, from start-ups to industrial size ones.",https://www.crunchbase.com/organization/doliam,
Gilles Babinet,Gilles Babinet is the Co-Founder of Isotope Energy. He previously worked at Digibonus as a Co-Founder and Non-Executive Director.,https://www.crunchbase.com/person/gilles-babinet,
ABC Ventures,ABC Ventures operates as an investment firm.,https://www.crunchbase.com/organization/abc-ventures,
StartUp HUB Poland,StartUp HUB Poland is an innovation HUB for high-tech startups from central-east europe.,https://www.crunchbase.com/organization/startup-hub-poland,
CoinW.com,CoinW.com is a global digital asset trading platform opened in Hong Kong.,https://www.crunchbase.com/organization/coinw-com,
Edipresse,"Edipresse is a family business that focuses on media, digital ventures, and real estate industries.",https://www.crunchbase.com/organization/edipresse,
Malakoff Mederic,Malakoff Mederic is provides health and personal insurance services.,https://www.crunchbase.com/organization/malakoff-mederic,
Round Hill Capital,Round Hill Capital is an investment firm.,https://www.crunchbase.com/organization/round-hill-capital,
Groupe Pasteur Mutualité,Groupe Pasteur Mutualité mutual group of insurance and services for healthcare professionals.,https://www.crunchbase.com/organization/groupe-pasteur-mutualité,
etventure,etventure is a consulting company that develops and tests cross-industrial digital business solutions.,https://www.crunchbase.com/organization/etventure,
team neusta,"team neusta provides consulting, development and realization of complex software-, mobile and eCommerce solutions in its core business.",https://www.crunchbase.com/organization/team-neusta,
GLS Community Bank eG,"GLS Community Bank eG is the first social-ecological bank in the world. Secure, transparent and sustainable banking, located in Bochum.",https://www.crunchbase.com/organization/gls-community-bank-eg,
Dmitry Tokarev,Dmitry T. is a CEO at Copper. He attended Imperial College Londo.,https://www.crunchbase.com/person/dmitry-tokarev,
Andrew Scott,"Andrew J Scott, Founding Partner – based in London & San Francisco. 20 years in technology, founder of 6 startups; investor since 2014. As ...",https://www.crunchbase.com/person/andrew-scott,
ORTHO INNOVATIONS,Ortho Innovations is a medical equipment manufacturing company.,https://www.crunchbase.com/organization/ortho-innovations,
Julian Dames,Julian Dames is the co-founder and Managing Director of Flink.,https://www.crunchbase.com/person/julian-f-dames,
RÉGION OCCITANIE,"RÉGION OCCITANIE provides authority over economic development, long-term land use planning, and transportation.",https://www.crunchbase.com/organization/region-occitanie,
Besodos Investors,Besodos Investors Oy is a family owned investment company founded in 1995.,https://www.crunchbase.com/organization/besodos-investors,
Eghosa Omoigui,Eghosa Omoigui is the founder and Managing General Partner of EchoVC Partners (a seed & early-stage technology venture capital firm bridging...,https://www.crunchbase.com/person/eghosa-omoigui,
Alex Roetter,Alex Roetter is the Managing Director and General Partner at Moxxie Ventures. He attended Stanford University.,https://www.crunchbase.com/person/alex-roetter,
Andrea Baronchelli,Y-Combinator & Rocket Internet Alum. Financial and Technology background. I love finding solutions to challenging problems and getting thing...,https://www.crunchbase.com/person/andrea-baronchelli,
Tianzhihang,"Tianzhihang designs, manufactures, and applies orthopaedic robotic systems in clinical settings.",https://www.crunchbase.com/organization/tinavi,
