Organization Name,Organization Name URL,Description,B2B Binary
Jutro Medical,https://www.crunchbase.com/organization/jutro,Jutro Medical offers a combination of online and offline primary care pairing mobile-first telemedicine with a physical clinic.,0
Booksy,https://www.crunchbase.com/organization/booksy,"Booksy is a booking platform that links local customers with professionals in the beauty, wellness, and health industries.",0
Quantee,https://www.crunchbase.com/organization/quantee,SaaS AI-based dynamic insurance pricing,1
Intelliseq,https://www.crunchbase.com/organization/intelliseq-sp-z-o-o,"Intelliseq offers a cloud-based platform for NGS data analysis and clinical interpretation, automating genetic data processing.",1
Synerise,https://www.crunchbase.com/organization/synerise,#17 Europe’s Fastest Growing Technology Sector Company according to Financial Times.,1
Aleet,https://www.crunchbase.com/organization/aleet,A technology company specializing in the dynamic management of fleet operations with a use of AI/ML,1
neptune.ai,https://www.crunchbase.com/organization/neptune-ml,The MLOps stack component for experiment tracking,1
BidFinance,https://www.crunchbase.com/organization/bidfinance,"Bidfinance is a part of several industry associations, including Fintech Poland",1
DBR77 Robotics Sp. z o.o.,https://www.crunchbase.com/organization/dbr77-robotics-sp-z-o-o,A B2B Tech Marketplace for Robotization,1
Oxla,https://www.crunchbase.com/organization/oxla,Oxla is a SaaS company that offers a distributed database designed to handle large amounts of data with ease.,1
Coding Giants,https://www.crunchbase.com/organization/coding-giants,Coding Giants is an innovative EdTech company that educates children and teenagers to new technologies.,0
Aether Biomedical,https://www.crunchbase.com/organization/aether-biomedical,Aether Biomedical is a rehabiliation robotics startup focused on building bionic limbs for upper limb amputees,1
Packhelp,https://www.crunchbase.com/organization/packhelp,"Packhelp simplifies creating, ordering and managing custom and sustainable packaging. Trusted by more than 50 000 companies.",1
Authologic,https://www.crunchbase.com/organization/authologic,Authologic is a system that helps businesses in checking the identity of their clients online.,1
IS-Wireless,https://www.crunchbase.com/organization/is-wireless,"5G, vRAN, Open RAN, cloud RAN",1
Talkie.ai,https://www.crunchbase.com/organization/talkie-ai,Talkie improves efficiency of Patient Access using AI-based phone virtual assistants.,1
Tylko,https://www.crunchbase.com/organization/tylko-2,"Tylko is D2C brand offering high-quality, perfectly fitting shelving that can be ordered in the easiest way possible. ",0
SATIM,https://www.crunchbase.com/organization/satim,Ultimate goal of SATIM is to help businesses make better decisions.,1
Saventic Health,https://www.crunchbase.com/organization/saventic-health,Saventic Health is a med-tech company that develops an AI-powered clinical decision support system to support diagnosing rare diseases.,1
Mindgram,https://www.crunchbase.com/organization/mindgram,Mindgram is a science-based platform and mobile app for complete mental wellness.,0
Autenti,https://www.crunchbase.com/organization/autenti,Autenti is the European standard for e-signature & identification. We provide a one-click e-signature platform for all types of transactions,1
Saleor Commerce,https://www.crunchbase.com/organization/saleor-commerce,The world’s fastest growing open-source ecommerce platform with billions of dollars transacted.,1
Molecule.one,https://www.crunchbase.com/organization/molecule-one,Molecule. one develops software for organic synthesis design.,1
Airly,https://www.crunchbase.com/organization/airly-ddd4,Airly is an internet company that specializes in providing hyper-local data about air pollution.,1
Ecobean,https://www.crunchbase.com/organization/ecobean,Ecobean is a technology company with a mission to help reduce coffee waste at the scale of business,1
Applica,https://www.crunchbase.com/organization/applica-ai,Applica is a documentation automation platform.,1
Sportano.pl,https://www.crunchbase.com/organization/sportano-pl,Sportano.pl is the world of multibrand sports at the greatest level of your favorite brands are accessible.,0
Nethone,https://www.crunchbase.com/organization/nethone,Know Your Users™ to reject only fraudsters,1
Plenti,https://www.crunchbase.com/organization/plenti-4680,"Plenti is a rent tech on-demand that offers a fast, easy, and safe access to consumer electronics.",0
ReSpo.Vision,https://www.crunchbase.com/organization/respo-vision,"ReSpo.Vision revolutionizes football with the help of, cutting-edge AI research and use it to watch & analyze football games",1
Survicate,https://www.crunchbase.com/organization/survicate,The fastest way to collect feedback from customers.,1
LiveKid,https://www.crunchbase.com/organization/livekid,Innovative system for nurseries and kindergartens,1
Orbify,https://www.crunchbase.com/organization/orbify,Orbify allows users to create own applications and digital solutions without codes.,1
Foodsi,https://www.crunchbase.com/organization/foodsi,Grab before it's too late!,0
Brainly,https://www.crunchbase.com/organization/brainly-com,Brainly is a web-based learning platform where kids and parents seek homework and study assistance from peers and professionals.,0
CTHINGS.CO,https://www.crunchbase.com/organization/cthings-co,We develop and manufacture end-to-end 5G IoT solutions designed to uncover the hidden potential in processes and assets.,1
Telemedi,https://www.crunchbase.com/organization/telemedi-co,Trusted partner in digital healthcare,1
Nevomo,https://www.crunchbase.com/organization/nevomo,"Nevomo, the only company in the world able to gradually implement hyperloop-inspired solutions as an upgrade for the railway industry.",1
Demoboost,https://www.crunchbase.com/organization/demoboost,"Demo experience that sells. Easily create, share and track your product demos.",1
Livespace,https://www.crunchbase.com/organization/livespace,Livespace is a process-focused CRM platform for B2B sales teams.,1
Surveily,https://www.crunchbase.com/organization/surveily,Surveily uses AI to harden safety in manufacturing. It detects threats in realtime and helps prevention. No internet or CCTV upgrade needed.,1
Alphamoon,https://www.crunchbase.com/organization/alphamoon,Alphamoon is an automate document processing and extract valuable document data using an AI-based platform.,1
Pergamin,https://www.crunchbase.com/organization/pergamin,"Online draft & sign platform that makes it easy to create, negotiate and manage contracts.",1
Hotailors.com,https://www.crunchbase.com/organization/hotailor,Corporate SaaS for business travel,1
StethoMe,https://www.crunchbase.com/organization/stethome,StethoMe is a digital stethoscope that enables remote monitoring of heart and lung sounds for healthcare professionals.,1
QuestPass,https://www.crunchbase.com/organization/questpass,"Moneyless „paywall” for digital content with 5x more profitable, clever advertising system that guarantees 100% ATTENTION.",1
MIM Fertility,https://www.crunchbase.com/organization/mim-fertility,MIM Fertility help fertility professionals improve patient outcomes and increase clinic efficiency by artificial intelligence .,1
